full_paths,date,duration,filename,cohort,sub_id,duration_in_minutes,age_during_video,vid_index,start_time,end_time
/BabyView_Main/00220001/00220001_GX030001_02.05.2024-02.11.2024_02.05.2024-5:19pm.MP4,2024-02-05,704.73,00220001_GX030001_02.05.2024-02.11.2024_02.05.2024-5:19pm.MP4,BabyView_Main,00220001,11.7455,6.245847176079734,6,352.365,382.365
/BabyView_Main/00220001/00220001_GX030003__2024-02-12-09:04:46.MP4,2024-02-12,704.7,00220001_GX030003__2024-02-12-09:04:46.MP4,BabyView_Main,00220001,11.745000000000001,6.4784053156146175,12,352.35,382.35
/BabyView_Main/00220001/00220001_GX020006_02.19.2024-02.25.2024_02.24.2024-NA.MP4,2024-02-24,704.73,00220001_GX020006_02.19.2024-02.25.2024_02.24.2024-NA.MP4,BabyView_Main,00220001,11.7455,6.877076411960132,18,352.365,382.365
/BabyView_Main/00220001/00220001_GX010011_03.11.2024-03.17.2024_03.06.2024-1:59pm.MP4,2024-03-06,570.43,00220001_GX010011_03.11.2024-03.17.2024_03.06.2024-1:59pm.MP4,BabyView_Main,00220001,9.507166666666667,7.2425249169435215,24,285.215,315.215
/BabyView_Main/00220001/00220001_GX030015_03.25.2024-03.31.2024_03.30.2024-12:51pm.MP4,2024-03-30,528.34,00220001_GX030015_03.25.2024-03.31.2024_03.30.2024-12:51pm.MP4,BabyView_Main,00220001,8.805666666666667,8.039867109634551,30,264.17,294.17
/BabyView_Main/00220001/00220001_GX030016_04.01.2024-04.07.2024_04.06.2024-12:07pm.MP4,2024-04-06,704.73,00220001_GX030016_04.01.2024-04.07.2024_04.06.2024-12:07pm.MP4,BabyView_Main,00220001,11.7455,8.272425249169435,36,352.365,382.365
/BabyView_Main/00220001/00220001_GX020026__2024-04-30-17:38:42.MP4,2024-04-30,704.73,00220001_GX020026__2024-04-30-17:38:42.MP4,BabyView_Main,00220001,11.7455,9.069767441860465,42,352.365,382.365
/BabyView_Main/00230001/00230001_GX010007_11.13.2023-11.19.2023_11.13.2023-8:14am.MP4,2023-11-13,390.72,00230001_GX010007_11.13.2023-11.19.2023_11.13.2023-8:14am.MP4,BabyView_Main,00230001,6.5120000000000005,6.046511627906977,6,195.36,225.36
/BabyView_Main/00230001/00230001_GX020008_01.01.2024-01.07.2024_12.10.2023-12:20pm.MP4,2023-12-10,768.79,00230001_GX020008_01.01.2024-01.07.2024_12.10.2023-12:20pm.MP4,BabyView_Main,00230001,12.813166666666666,6.943521594684385,12,384.395,414.395
/BabyView_Main/00230001/00230001_GX010010_03.04.2024-03.10.2024_03.04.2024-5:00pm.MP4,2024-03-04,704.73,00230001_GX010010_03.04.2024-03.10.2024_03.04.2024-5:00pm.MP4,BabyView_Main,00230001,11.7455,9.767441860465116,18,352.365,382.365
/BabyView_Main/00230001/00230001_GX030011_04.08.2024-04.14.2024_04.14.2024-NA.MP4,2024-04-14,618.22,00230001_GX030011_04.08.2024-04.14.2024_04.14.2024-NA.MP4,BabyView_Main,00230001,10.303666666666667,11.129568106312291,24,309.11,339.11
/BabyView_Main/00240001/00240001_GX020006_11.06.2023-11.12.2023_11.10.2023-10:59am.MP4,2023-11-10,1217.22,00240001_GX020006_11.06.2023-11.12.2023_11.10.2023-10:59am.MP4,BabyView_Main,00240001,20.287,7.408637873754152,6,608.61,638.61
/BabyView_Main/00240001/00240001_GX030013_11.13.2023-11.19.2023_11.19.2023-3:25pm.MP4,2023-11-19,1046.49,00240001_GX030013_11.13.2023-11.19.2023_11.19.2023-3:25pm.MP4,BabyView_Main,00240001,17.4415,7.707641196013289,12,523.245,553.245
/BabyView_Main/00240001/00240001_GX010012_11.13.2023-11.19.2023_2023-11-20-21:39:34.MP4,2023-11-20,357.19,00240001_GX010012_11.13.2023-11.19.2023_2023-11-20-21:39:34.MP4,BabyView_Main,00240001,5.953166666666666,7.740863787375415,18,178.595,208.595
/BabyView_Main/00240001/00240001_GX030022-11.25.2023_11.20.2023-11.26.2023_2023-11-25-21:22:37.MP4,2023-11-25,684.72,00240001_GX030022-11.25.2023_11.20.2023-11.26.2023_2023-11-25-21:22:37.MP4,BabyView_Main,00240001,11.412,7.906976744186046,24,342.36,372.36
/BabyView_Main/00240001/00240001_GX020024-11.26.23_11.20.2023-11.26.2023_2023-11-27-03:08:43.MP4,2023-11-27,1126.81,00240001_GX020024-11.26.23_11.20.2023-11.26.2023_2023-11-27-03:08:43.MP4,BabyView_Main,00240001,18.780166666666666,7.973421926910299,30,563.405,593.405
/BabyView_Main/00240001/00240001_GX010025_11.27.2023-12.03.2023_12.02.2023-9:01am.MP4,2023-12-02,674.48,00240001_GX010025_11.27.2023-12.03.2023_12.02.2023-9:01am.MP4,BabyView_Main,00240001,11.241333333333333,8.13953488372093,36,337.24,367.24
/BabyView_Main/00240001/00240001_GX020027-12.02.23_11.27.2023-12.03.2023_2023-12-03-23:05:26.MP4,2023-12-03,473.84,00240001_GX020027-12.02.23_11.27.2023-12.03.2023_2023-12-03-23:05:26.MP4,BabyView_Main,00240001,7.897333333333333,8.172757475083056,42,236.92,266.91999999999996
/BabyView_Main/00240001/00240001_GX030029_12.04.2023-12.10.2023_12.03.2023-NA.MP4,2023-12-03,896.92,00240001_GX030029_12.04.2023-12.10.2023_12.03.2023-NA.MP4,BabyView_Main,00240001,14.948666666666666,8.172757475083056,48,448.46,478.46
/BabyView_Main/00240001/00240001_GX010030_12.25.2023-12.31.2023_12.16.2023-7:53AM.MP4,2023-12-16,960.98,00240001_GX010030_12.25.2023-12.31.2023_12.16.2023-7:53AM.MP4,BabyView_Main,00240001,16.016333333333332,8.604651162790697,54,480.49,510.49
/BabyView_Main/00240001/00240001_GX020031_01.01.2024-01.07.2024_01.05.2024-12:09pm.MP4,2024-01-05,832.85,00240001_GX020031_01.01.2024-01.07.2024_01.05.2024-12:09pm.MP4,BabyView_Main,00240001,13.880833333333333,9.269102990033222,60,416.425,446.425
/BabyView_Main/00240001/00240001_GX010033_01.15.2024-01.21.2024_01.20.2024-7:56am.MP4,2024-01-20,1217.24,00240001_GX010033_01.15.2024-01.21.2024_01.20.2024-7:56am.MP4,BabyView_Main,00240001,20.287333333333333,9.767441860465116,66,608.62,638.62
