child_id,name,min,s,time,zem,cat,brush,tima,gimo,ball,manu,car,utterance,clip_cor
XS_0801,ball,0,2.0,2.0,1.0,,,,,,,,you're patting that ball.,NA
XS_0801,ball,1,26.8,86.8,,,,,,,,,you just like the ball huh?,NA
XS_0801,ball,2,9.3,129.3,,,,,,,,,roll that ball to me.,NA
XS_0801,gimo,3,9.8,189.8,,,,,,,,,here's a gimo and a cat.,NA
XS_0801,cat,3,10.9,190.9,,,,,,,,,,NA
XS_0801,gimo,3,30.7,210.7,,1.0,,,,,,,gimo and cat.,NA
XS_0801,cat,3,31.1,211.1,,,,,,,,,,NA
XS_0801,gimo,3,33.2,213.2,,,,,,,,,that's the gimo.,NA
XS_0801,gimo,3,35.4,215.4,,,,,,,,,gimo.,NA
XS_0801,cat,3,52.4,232.4,,,,,,,,,look at the cat.,NA
XS_0801,cat,3,54.6,234.6,,,,,,,,,let's play with the kitty cat.,NA
XS_0801,cat,4,28.7,268.7,,,,,,,,,you don't like your cat?,NA
XS_0801,tima,5,2.1,302.1,,,1.0,1.0,,,,,that's a tima.,0.21268573210917951
XS_0801,brush,5,7.3,307.3,,,,,,,,,and that's the brush.,NA
XS_0801,brush,5,28.1,328.1,,,1.0,1.0,,,,,brush.,0.21589165016946985
XS_0801,tima,5,30.0,330.0,,,,1.0,,,,,against the tima.,NA
XS_0801,tima,7,35.8,455.8,,,,,,,,,tima.,NA
XS_0801,tima,7,36.9,456.9,,,,1.0,,,,,tima,0.24197588706182085
XS_0801,cat,10,44.1,644.1,,1.0,,,1.0,,,,kitty cat.,0.23797169704742713
XS_0801,gimo,10,49.4,649.4,,1.0,,,,,,,gimo.,NA
XS_0801,cat,11,46.3,706.3,,1.0,,,,,,,get that kitty cat.,0.25170790289943396
XS_0801,cat,12,48.1,768.1,,1.0,,,,,,,what about the kitty cat?,0.2596970697182727
XS_0801,cat,13,5.4,785.4,,1.0,,,,,,,kitty cat.,0.23248749331394314
XS_0801,cat,13,11.0,791.0,,,,,,,,,kitty cat whiskers.,NA
XS_0801,cat,13,28.2,808.2,,,,,,,,,you got the kitty cat.,NA
XS_0803,cat,7,26.0,446.0,,1.0,,,,,,,you wanna play with the kitty cat?,NA
XS_0803,cat,9,49.5,589.5,,,,,,,,,you want the kitty cat?,NA
XS_0803,cat,10,6.5,606.5,,,,,,,,,kitty cat?,NA
XS_0803,cat,10,8.4,608.4,,,,,,,,,kitty cat.,NA
XS_0803,cat,10,16.1,616.1,,,,,,,,,[xxx] kitty cat.,NA
XS_0805,gimo,0,37.3,37.3,,,,,,,,,that's a gimo.,NA
XS_0805,brush,1,10.4,70.4,,,,,,,,,that's a brush.,NA
XS_0805,zem,1,39.7,99.7,,,,,,,,,that's called a zem.,NA
XS_0805,zem,1,43.5,103.5,,,,,,,,,that's called a zem.,NA
XS_0805,brush,1,53.6,113.6,,,,,,,,,you like that brush huh?,NA
XS_0805,zem,3,12.7,192.7,,,,,,,,,that's called a zem.,NA
XS_0805,zem,3,14.8,194.8,,,,,,,,,zem.,NA
XS_0805,ball,3,40.9,220.9,,,,,,,,,is that a ball?,NA
XS_0805,ball,3,43.8,223.8,1.0,,,,,,,,is that a ball?,NA
XS_0805,ball,3,47.3,227.3,,,,,,,,,say ball.,NA
XS_0805,ball,4,3.3,243.3,,,,,,1.0,,,say ball.,0.28146562541340153
XS_0805,ball,4,11.3,251.3,,,,,,1.0,,,the ball rolled away.,0.21731601218697366
XS_0805,ball,4,13.9,253.9,,,,,,1.0,,,the ball rolled away.,0.19180980316399973
XS_0805,brush,4,39.6,279.6,,,,,,,,,we haven't seen a brush for a while.,NA
XS_0805,brush,4,42.5,282.5,,,1.0,,,,,,want to see the brush?,0.24656998170236305
XS_0805,brush,5,16.4,316.4,,,,,,,,,that's a brush.,NA
XS_0805,brush,5,19.3,319.3,,,,,,,,,say brush.,NA
XS_0805,cat,5,24.8,324.8,,,,,,1.0,,,here comes the kitty cat again.,NA
XS_0805,ball,5,35.3,335.3,,,,,,,,,ball.,NA
XS_0805,ball,5,38.9,338.9,,,,,,,,,is that a ball?,NA
XS_0805,ball,10,34.1,634.1,,,,,,,,,Lorali do you know where the ball is?,NA
XS_0805,ball,10,37.3,637.3,,,,,,,,,where's the ball?,NA
XS_0805,ball,10,40.7,640.7,,,,,,1.0,,,can you get the ball?,0.26962757549460276
XS_0805,zem,11,53.3,713.3,,,,,,,,,that's a zem.,NA
XS_0805,zem,11,55.8,715.8,,,,,,,,,you get the zem.,NA
XS_0805,ball,12,7.1,727.1,,,,,,,,,where's the ball?,NA
XS_0805,ball,12,8.9,728.9,,,,,,,,,where's the ball?,NA
XS_0805,ball,12,11.6,731.6,,,,,,,,,Lorali where's the ball?,NA
XS_0805,ball,12,14.1,734.1,,,,,,,,,where's the ball?,NA
XS_0805,ball,12,15.3,735.3,,,,,,,,,is that the ball over there?,NA
XS_0805,ball,12,18.7,738.7,,,,,,,,,is that the ball over there?,NA
XS_0805,ball,12,20.2,740.2,,,,,,1.0,,,where's the ball?,0.24024861259538138
XS_0805,ball,12,21.6,741.6,,,,,,1.0,,,can you get the ball?,0.25629075767651777
XS_0805,ball,12,28.9,748.9,,,,,,1.0,,,can you get the ball?,0.25744021663980915
XS_0805,brush,13,10.0,790.0,,,1.0,,,,,,you want a brush?,NA
XS_0805,gimo,13,24.3,804.3,,,,,,,,,that's a gimo.,NA
XS_0805,gimo,13,25.3,805.3,,,,,,,,,a geo gimo.,NA
XS_0805,gimo,13,25.8,805.8,,,,,,,,,that's a gimo.,NA
XS_0805,gimo,13,29.1,809.1,,,,,,,,,that's a gimo.,NA
XS_0805,gimo,14,9.2,849.2,,,,,,,,,a gimo.,NA
XS_0805,ball,14,21.9,861.9,,,,,,1.0,,,where's the ball?,0.24002984544152103
XS_0805,ball,14,23.3,863.3,,,,,,1.0,,,where's the ball?,0.2408572396299901
XS_0805,ball,14,26.0,866.0,,,,,1.0,,,,Lorali where's the ball?,NA
XS_0805,ball,14,27.5,867.5,,,,,,1.0,,,where's the ball?,0.14057235914730257
XS_0805,ball,14,28.2,868.2,,,,,,1.0,,,can you get the ball?,0.26396789921200087
XS_0807,ball,0,2.2,2.2,,,,,,,,,ball.,NA
XS_0807,zem,0,15.4,15.4,,,,,,,,,how about how about the zem?,NA
XS_0807,zem,0,16.4,16.4,,,,,,,,,you like the zem?,NA
XS_0807,zem,0,21.0,21.0,,,,,,,,,that's called a zem.,NA
